source_id,ra,ra_error,dec,dec_error,astrometric_weight_al,radial_velocity,teff_val,radius_val,lum_val
4062322253469727616,269.59858634877673,0.29976793737589574,-29.508620573194374,0.23270187687112806,0.62131196,,,,
4062322833456449536,269.5121479953128,0.3226494908467805,-29.500662021258822,0.3088052942811103,0.43370548,,,,
4062322597121068032,269.6020421041543,0.9627276916504742,-29.4667320906529,0.7009708544134506,0.38071838,,,,
4062322524219396096,269.57331682626517,0.6040602948909355,-29.48395190856729,0.4937902383998838,0.19332868,,,,
4062322493988006144,269.59325302299624,0.14201420345343072,-29.4907296873981,0.12021715809427112,2.1786907,,3296.0,,
4062322867816692096,269.5408724166295,0.7452137160314876,-29.494055623728467,1.7522306173286206,0.17588422,,,,
4062322043177982208,269.5673164497799,1.0940326652011578,-29.5168278682397,0.9850486240314184,0.31466597,,4424.03,,
4062322562761476608,269.58113291189665,0.24710152694357054,-29.46888177721902,0.22165776618185712,0.76751167,,,,
4062322184803775488,269.5951965303231,0.4410941586084312,-29.51777731740311,0.4015420816318202,0.21155807,,,,
4062322764732022784,269.52931929838667,0.8385733802415433,-29.507768165340647,0.7835327854027678,0.065351576,,,,
4062322799096639616,269.50008238980735,0.2230179478312592,-29.50617762431822,0.23429547778957271,0.6511037,,,,
4062322352422049792,269.63144097452374,0.15504179843362326,-29.488115149506452,0.13512804930527803,2.0408573,,4275.0,,
4062322867632533376,269.5395651983909,0.11365856154034112,-29.488551187417837,0.0980222470889054,4.472304,,4488.5,,
4062322287883218816,269.60339902669904,1.036964842921806,-29.486957964560936,1.0367727070790285,0.05401186,,,,
4062322695986359040,269.5970589442992,0.7149346684756122,-29.454416586615253,0.662181989966563,0.09492239,,,,
4062323009438579456,269.4942901287983,1.3236488426567605,-29.49085103745647,1.1976335682280137,0.024006581,,5095.6333,,
4062322352422448896,269.6404422302045,16.206355576410196,-29.488085113058087,10.690196630349364,0.11860643,,,,
4062322562708313600,269.582635851523,2.6877986665115094,-29.47000089460317,3.187314161118866,0.014342459,,,,
4062322665840730368,269.59076767025084,0.44895258832440227,-29.456986929194773,0.41090963674777975,0.23496296,,,,
